Year	1888	1888	1888	1893	1893	1893	1898	1898	1898	1903	1903	1903	1908	1908	1908	1913	1913	1913	1918	1918	1918	1920	1920	1920	1925	1925	1925	1930	1930	1930	1935	1935	1935	1940	1940	1940	1947	1947	1947	1950	1950	1950	1955	1955	1955	1960	1960	1960	1965	1965	1965	1970	1970	1970	1975	1975	1975	1980	1980	1980	1985	1985	1985	1990	1990	1990	1995	1995	1995	2000	2000	2000	2005	2005	2005
31	598178	304933	293245	502700	256060	246640	603030	306348	296682	623254	317693	305561	742935	378613	364322	766885	387813	379072	739932	379102	360830	773679	393733	379946	765507	397434	368073	844932	437622	407310	902098	464869	437229	1047564	526959	520605	1045938	482991	562947	969980	437635	532345	1283070	605186	677884	1546012	772624	773388	1649166	826279	822887	1539410	768109	771301	1929194	963771	965423	2415378	1215045	1200333	1671701	842843	828858	1584284	799044	785240	1647947	834566	813381	1849663	934421	915242	1972766	999283	973483
32	579150	295960	283190	466446	237639	228807	584882	299073	285809	576560	294485	282075	775347	393634	381713	779917	393500	386417	758242	385438	372804	741333	377506	363827	733141	378762	354379	868273	446004	422269	941022	482303	458719	999618	505847	493771	1021323	470148	551175	1002823	456249	546574	1199721	536980	662741	1518394	759057	759337	1681583	843032	838551	1667353	830456	836897	1881880	940695	941185	2411095	1213414	1197681	1789628	899787	889841	1548083	779718	768365	1612294	816403	795891	1813198	916453	896745	2009592	1014512	995080
33	570312	292081	278231	529196	271387	257809	639719	327382	312337	553656	282647	271009	709617	361857	347760	747953	379434	368519	726966	370727	356239	712177	359513	352664	742735	382464	360271	811157	420519	390638	940451	483147	457304	972265	495310	476955	1046223	486143	560080	1016665	465986	550679	1146791	503550	643241	1481269	736485	744784	1661603	837513	824090	1728640	863738	864902	1943397	973225	970172	2304799	1162414	1142385	1895956	952550	943406	1510323	761121	749202	1563101	790825	772276	1811976	916005	895971	1971948	997497	974451
34	582701	300346	282355	530415	269131	261284	608475	310989	297486	556634	283627	273007	687429	349383	338046	748029	380017	368012	722847	366842	356005	642920	324429	318491	668571	344053	324518	793771	409290	384481	916100	474503	441597	850881	438530	412351	1006141	471381	534760	1041678	482621	559057	1095777	479175	616602	1463787	720880	742907	1634347	822441	811906	1750486	878197	872289	1912195	957193	955002	1447977	728013	719964	2025350	1018104	1007246	1595678	803517	792161	1543053	780707	762346	1417513	714899	702614	1926975	972768	954207
35	569295	293079	276216	569131	293987	275144	512668	261791	250877	637718	327134	310584	679705	346608	333097	739289	376196	363093	742005	371949	370056	674709	340166	334543	709169	365381	343788	779348	404573	374775	866706	446621	420085	884306	448315	435991	1000147	466790	533357	1015397	473869	541528	1155060	510722	644338	1387592	671027	716565	1570521	790396	780125	1696910	851127	845783	1758047	878565	879482	1569120	783458	785662	2187524	1099089	1088435	1661116	838061	823055	1560494	788702	771792	1757774	887876	869898	1872513	945606	926907
36	575401	298184	277217	568771	292457	276314	474657	242355	232302	575510	294012	281498	594289	303931	290358	710372	363728	346644	726990	368999	357991	685172	343045	342127	739439	379399	360040	741559	384820	356739	806935	419209	387726	856872	439008	417864	1001969	472637	529332	1041645	488768	552877	955592	431127	524465	1274848	601413	673435	1548159	776690	771469	1640697	822758	817939	1539335	769926	769409	1923586	959654	963932	2408332	1210092	1198240	1664582	837748	826834	1591400	803470	787930	1645492	830981	814511	1841095	927533	913562
37	495533	254272	241261	548825	281992	266833	438377	224144	214233	559615	287552	272063	549053	281517	267536	741602	378330	363272	738541	373983	364558	681796	339568	342228	705897	364073	341824	707038	366631	340407	832181	430075	402106	891024	455978	435046	978595	469089	509506	1005433	474335	531098	985374	447980	537394	1191436	533583	657853	1513306	758470	754836	1671165	837880	833285	1661257	828800	832457	1874319	934884	939435	2403501	1207873	1195628	1779871	892900	886971	1552685	782578	770107	1611261	813476	797785	1806426	910300	896126
38	519772	269215	250557	541241	278821	262420	501632	258210	243422	611172	314248	296924	528207	270734	257473	678495	348153	330342	707307	360047	347260	676085	338880	337205	678657	346726	331931	713020	368993	344027	777287	404539	372748	893451	457910	435541	967624	466941	500683	1012758	476776	535982	998658	457391	541267	1139696	500665	639031	1474020	734333	739687	1646599	829397	817202	1720422	860589	859833	1935170	967450	967720	2296917	1157498	1139419	1887077	946671	940406	1516785	764634	752151	1559997	786872	773125	1802445	908866	893579
39	559602	288596	271006	552132	285916	266216	503892	256376	247516	579070	297143	281927	529496	271096	258400	656169	335007	321162	707300	360700	346600	692976	346112	346864	616215	312959	303256	643868	331888	311980	762737	393002	369735	866315	446255	420060	933448	454102	479346	972840	462357	510483	1020442	472278	548164	1089563	476182	613381	1447991	713583	734408	1617471	813516	803955	1743259	874686	868573	1899386	949270	950116	1441770	723678	718092	2011134	1009449	1001685	1600857	806425	794432	1540341	777081	763260	1413302	710482	702820
40	526880	274011	252869	535987	276905	259082	540648	280548	260100	488471	250808	237663	605011	312018	292993	649844	332367	317477	699719	357379	342340	644026	324853	319173	637609	324028	313581	677835	349878	327957	740852	385265	355587	815994	419969	396025	916402	456157	460245	950868	458889	491979	995917	464994	530923	1146414	507042	639372	1372992	665282	707710	1550343	779593	770750	1697645	850764	846881	1740587	868342	872245	1563627	779447	784180	2171387	1089260	1082127	1662095	838188	823907	1556645	784295	772350	1753784	882923	870861
